X,Y,OBJECTID,STN_NAME,STN_NO,location
103.7938509,1.427259979,175,WOODLANDS SOUTH MRT STATION,TE3,WOODLANDS
103.7879308,1.436066981,181,WOODLANDS MRT STATION,TE2,WOODLANDS
103.8905394,1.386723922,46,RENJONG LRT STATION,SW8,SENGKANG
103.8858441,1.389347953,74,TONGKANG LRT STATION,SW7,SENGKANG
103.8800296,1.392079839,67,LAYAR LRT STATION,SW6,SENGKANG
103.8763086,1.391885888,73,FERNVALE LRT STATION,SW5,SENGKANG
103.8756352,1.397318155,56,THANGGAM LRT STATION,SW4,SENGKANG
103.8812562,1.398212828,45,KUPANG LRT STATION,SW3,SENGKANG
103.8893048,1.397170196,44,FARMWAY LRT STATION,SW2,SENGKANG
103.8937972,1.396277631,70,CHENG LIM LRT STATION,SW1,SENGKANG
103.8954426,1.391609364,92,SENGKANG LRT STATION,STC,SENGKANG
103.8971947,1.384233561,89,RANGGUNG LRT STATION,SE5,SENGKANG
103.902174,1.383978902,68,KANGKAR LRT STATION,SE4,SENGKANG
103.9054391,1.388092704,81,BAKAU LRT STATION,SE3,SENGKANG
103.9059736,1.391468497,82,RUMBIA LRT STATION,SE2,SENGKANG
103.9004925,1.394493046,83,COMPASSVALE LRT STATION,SE1,SENGKANG
103.8972097,1.405088585,53,SOO TECK LRT STATION,PW7,PUNGGOL
103.8985585,1.408452426,72,SUMANG LRT STATION,PW6,PUNGGOL
103.9003138,1.411870458,52,NIBONG LRT STATION,PW5,PUNGGOL
103.9021563,1.415901719,51,SAMUDERA LRT STATION,PW4,PUNGGOL
103.9066508,1.41684852,71,PUNGGOL POINT LRT STATION,PW3,PUNGGOL
103.9065776,1.412770894,77,TECK LEE LRT STATION,PW2,PUNGGOL
103.9048316,1.409612685,43,SAM KEE LRT STATION,PW1,PUNGGOL
103.9024119,1.405194701,50,PUNGGOL LRT STATION,PTC,PUNGGOL
103.9086035,1.405234836,58,DAMAI LRT STATION,PE7,PUNGGOL
103.9127274,1.402286677,42,OASIS LRT STATION,PE6,PUNGGOL
103.9164867,1.399584853,54,KADALOOR LRT STATION,PE5,PUNGGOL
103.9161661,1.394524496,60,RIVIERA LRT STATION,PE4,PUNGGOL
103.9125809,1.393909226,55,CORAL EDGE LRT STATION,PE3,PUNGGOL
103.9089502,1.396912053,69,MERIDIAN LRT STATION,PE2,PUNGGOL
103.9059619,1.399281985,59,COVE LRT STATION,PE1,PUNGGOL
103.7864851,1.436875128,24,WOODLANDS MRT STATION,NS9,WOODLANDS
103.7740715,1.432514421,36,MARSILING MRT STATION,NS8,KRANJI
103.7621654,1.425177699,4,KRANJI MRT STATION,NS7,KRANJI
103.7474051,1.397535018,6,YEW TEE MRT STATION,NS5,KRANJI
103.7443409,1.385361693,19,CHOA CHU KANG MRT STATION,NS4,CHOA CHU KANG
103.7518935,1.358761857,35,BUKIT GOMBAK MRT STATION,NS3,CHOA CHU KANG
103.8628598,1.271336711,150,MARINA SOUTH PIER MRT STATION,NS28,MARINA BAY
103.8545978,1.276427355,128,MARINA BAY MRT STATION,NS27,MARINA BAY
103.8514617,1.284125611,186,RAFFLES PLACE MRT STATION,NS26,RAFFLES
103.8525859,1.292936243,95,CITY HALL MRT STATION,NS25,RAFFLES
103.8461152,1.298701307,144,DHOBY GHAUT MRT STATION,NS24,RAFFLES
103.8390752,1.300260055,112,SOMERSET MRT STATION,NS23,ORCHARD
103.8322415,1.303981012,113,ORCHARD MRT STATION,NS22,ORCHARD
103.8379853,1.3123201,191,NEWTON MRT STATION,NS21,ORCHARD
103.8438256,1.320440791,147,NOVENA MRT STATION,NS20,ORCHARD
103.7495668,1.349034109,32,BUKIT BATOK MRT STATION,NS2,CHOA CHU KANG
103.8475018,1.332628987,174,TOA PAYOH MRT STATION,NS19,BISHAN
103.8467978,1.340471684,182,BRADDELL MRT STATION,NS18,BISHAN
103.848144,1.350838988,158,BISHAN MRT STATION,NS17,BISHAN
103.849933,1.369347304,17,ANG MO KIO MRT STATION,NS16,ANG MO KIO
103.8495581,1.369933175,33,ANG MO KIO MRT STATION,NS16,ANG MO KIO
103.8449473,1.381756046,41,YIO CHU KANG MRT STATION,NS15,ANG MO KIO
103.8329799,1.41738337,3,KHATIB MRT STATION,NS14,KHATIB
103.835005,1.429443081,13,YISHUN MRT STATION,NS13,KHATIB
103.8200461,1.449050821,30,SEMBAWANG MRT STATION,NS11,SEMBAWANG
103.800988,1.440585001,12,ADMIRALTY MRT STATION,NS10,SEMBAWANG
103.7422865,1.33315262,20,JURONG EAST MRT STATION,NS1,JURONG
103.8616865,1.319395706,178,BOON KENG MRT STATION,NE9,BOON KENG
103.8541771,1.31235984,151,FARRER PARK MRT STATION,NE8,BOON KENG
103.849647,1.306800025,169,LITTLE INDIA MRT STATION,NE7,ORCHARD
103.8454882,1.299705459,164,DHOBY GHAUT MRT STATION,NE6,RAFFLES
103.8465552,1.288386024,157,CLARKE QUAY MRT STATION,NE5,RAFFLES
103.8434268,1.284359578,131,CHINATOWN MRT STATION,NE4,OUTRAM
103.8395747,1.279764543,156,OUTRAM PARK MRT STATION,NE3,OUTRAM
103.9020726,1.404546728,106,PUNGGOL MRT STATION,NE17,PUNGGOL
103.8954847,1.391694626,116,SENGKANG MRT STATION,NE16,SENGKANG
103.8931216,1.382877858,183,BUANGKOK MRT STATION,NE15,SENGKANG
103.8923805,1.371292292,177,HOUGANG MRT STATION,NE14,SERANGOON
103.8850649,1.360179171,119,KOVAN MRT STATION,NE13,SERANGOON
103.8735748,1.349707875,148,SERANGOON MRT STATION,NE12,SERANGOON
103.8708183,1.339190046,146,WOODLEIGH MRT STATION,NE11,BOON KENG
103.8690557,1.331379525,176,POTONG PASIR MRT STATION,NE10,BOON KENG
103.8214431,1.26547264,101,HARBOURFRONT MRT STATION,NE1,HARBOUR FRONT
103.882906,1.316432612,16,ALJUNIED MRT STATION,EW9,PAYA LEBAR
103.8930604,1.318112082,9,PAYA LEBAR MRT STATION,EW8,PAYA LEBAR
103.9032525,1.319778952,1,EUNOS MRT STATION,EW7,PAYA LEBAR
103.9129494,1.321038249,31,KEMBANGAN MRT STATION,EW6,PAYA LEBAR
103.9299845,1.323979969,37,BEDOK MRT STATION,EW5,BEDOK
103.9463465,1.327187135,40,TANAH MERAH MRT STATION,EW4,BEDOK
103.6368787,1.340463766,22,TUAS LINK MRT STATION,EW33,TUAS
103.6396141,1.329989089,27,TUAS WEST ROAD MRT STATION,EW32,TUAS
103.6490755,1.321026553,25,TUAS CRESCENT MRT STATION,EW31,TUAS
103.660553,1.319505215,23,GUL CIRCLE MRT STATION,EW30,TUAS
103.9533717,1.343202895,10,SIMEI MRT STATION,EW3,BEDOK
103.6783751,1.327717173,38,JOO KOON MRT STATION,EW29,TUAS
103.6973215,1.337586882,7,PIONEER MRT STATION,EW28,TUAS
103.7060646,1.338604055,34,BOON LAY MRT STATION,EW27,JURONG
103.7209493,1.344259249,39,LAKESIDE MRT STATION,EW26,JURONG
103.7325967,1.342352821,2,CHINESE GARDEN MRT STATION,EW25,JURONG
103.7422865,1.33315262,20,JURONG EAST MRT STATION,EW24,JURONG
103.7652989,1.314954492,15,CLEMENTI MRT STATION,EW23,BUONA VISTA
103.7786378,1.311405293,29,DOVER MRT STATION,EW22,BUONA VISTA
103.7901915,1.307183467,28,BUONA VISTA MRT STATION,EW21,BUONA VISTA
103.7983045,1.302438735,8,COMMONWEALTH MRT STATION,EW20,BUONA VISTA
103.9451487,1.353301356,11,TAMPINES MRT STATION,EW2,TAMPINES
103.8058843,1.294860933,21,QUEENSTOWN MRT STATION,EW19,BUONA VISTA
103.8168167,1.289562726,5,REDHILL MRT STATION,EW18,OUTRAM
103.8270194,1.286193393,135,TIONG BAHRU MRT STATION,EW17,OUTRAM
103.8391265,1.281404978,188,OUTRAM PARK MRT STATION,EW16,OUTRAM
103.8458642,1.276521247,107,TANJONG PAGAR MRT STATION,EW15,OUTRAM
103.8514617,1.284125611,186,RAFFLES PLACE MRT STATION,EW14,OUTRAM
103.8525859,1.292936243,95,CITY HALL MRT STATION,EW13,OUTRAM
103.8557064,1.300465076,111,BUGIS MRT STATION,EW12,OUTRAM
103.8628292,1.30735702,163,LAVENDER MRT STATION,EW11,PAYA LEBAR
103.8713865,1.31148891,26,KALLANG MRT STATION,EW10,PAYA LEBAR
103.9492681,1.372983774,14,PASIR RIS MRT STATION,EW1,TAMPINES
103.8161317,1.322423979,159,BOTANIC GARDENS MRT STATION,DT9,ORCHARD
103.8073222,1.325883209,134,TAN KAH KEE MRT STATION,DT8,ORCHARD
103.7972463,1.330786387,173,SIXTH AVENUE MRT STATION,DT7,ORCHARD
103.7838067,1.335665121,137,KING ALBERT PARK MRT STATION,DT6,BUKIT PANJANG
103.7757943,1.341223176,140,BEAUTY WORLD MRT STATION,DT5,BUKIT PANJANG
103.9623757,1.335382137,122,EXPO MRT STATION,DT35,CHANGI
103.9614718,1.341737484,179,UPPER CHANGI MRT STATION,DT34,CHANGI
103.9546345,1.356191483,96,TAMPINES EAST MRT STATION,DT33,CHANGI
103.9430605,1.355077429,142,TAMPINES MRT STATION,DT32,CHANGI
103.938437,1.345515305,97,TAMPINES WEST MRT STATION,DT31,CHANGI
103.9322346,1.33660783,149,BEDOK RESERVOIR MRT STATION,DT30,BEDOK
103.7674183,1.362344869,136,HILLVIEW MRT STATION,DT3,BUKIT PANJANG
103.9179783,1.334742117,143,BEDOK NORTH MRT STATION,DT29,BEDOK
103.9084597,1.334967302,141,KAKI BUKIT MRT STATION,DT28,BEDOK
103.8992525,1.329956826,139,UBI MRT STATION,DT27,BEDOK
103.8893506,1.326076883,105,MACPHERSON MRT STATION,DT26,MACPHERSON
103.8832475,1.326876715,138,MATTAR MRT STATION,DT25,MACPHERSON
103.8719006,1.321505838,98,GEYLANG BAHRU MRT STATION,DT24,MACPHERSON
103.862978,1.313672233,99,BENDEMEER MRT STATION,DT23,MACPHERSON
103.855477,1.305403642,114,JALAN BESAR MRT STATION,DT22,MACPHERSON
103.8503843,1.29886427,100,BENCOOLEN MRT STATION,DT21,MACPHERSON
103.8443283,1.292478928,120,FORT CANNING MRT STATION,DT20,ORCHARD
103.7646944,1.369369831,172,CASHEW MRT STATION,DT2,BUKIT PANJANG
103.8444512,1.284748969,132,CHINATOWN MRT STATION,DT19,OUTRAM
103.8483028,1.282289536,190,TELOK AYER MRT STATION,DT18,MARINA BAY
103.8528404,1.27944619,123,DOWNTOWN MRT STATION,DT17,MARINA BAY
103.8590798,1.281873788,115,BAYFRONT MRT STATION,DT16,MARINA BAY
103.860853,1.292891552,102,PROMENADE MRT STATION,DT15,BUGIS
103.8568683,1.299550746,103,BUGIS MRT STATION,DT14,BUGIS
103.8524217,1.303916484,167,ROCHOR MRT STATION,DT13,BUGIS
103.8485846,1.307198223,168,LITTLE INDIA MRT STATION,DT12,ORCHARD
103.837811,1.313607102,133,NEWTON MRT STATION,DT11,ORCHARD
103.8260244,1.320065557,170,STEVENS MRT STATION,DT10,ORCHARD
103.7615351,1.379002117,171,BUKIT PANJANG MRT STATION,DT1,BUKIT PANJANG
103.9883647,1.357314545,180,CHANGI AIRPORT MRT STATION,CG2,CHANGI
103.9615482,1.334549778,18,EXPO MRT STATION,CG1,CHANGI
103.855094,1.276150637,129,MARINA BAY MRT STATION,CE2,RAFFLES
103.8590798,1.281873788,115,BAYFRONT MRT STATION,CE1,RAFFLES
103.8921788,1.317430268,152,PAYA LEBAR MRT STATION,CC9,NICOLL HIGHWAY
103.8886626,1.308382639,154,DAKOTA MRT STATION,CC8,NICOLL HIGHWAY
103.8825281,1.306201905,118,MOUNTBATTEN MRT STATION,CC7,NICOLL HIGHWAY
103.8753503,1.30284063,110,STADIUM MRT STATION,CC6,NICOLL HIGHWAY
103.863637,1.299766835,126,NICOLL HIGHWAY MRT STATION,CC5,NICOLL HIGHWAY
103.8609992,1.293218051,184,PROMENADE MRT STATION,CC4,RAFFLES
103.8555041,1.293321608,125,ESPLANADE MRT STATION,CC3,RAFFLES
103.8214431,1.26547264,101,HARBOURFRONT MRT STATION,CC29,HARBOUR FRONT
103.8097486,1.270753211,189,TELOK BLANGAH MRT STATION,CC28,HARBOUR FRONT
103.8029396,1.272332732,130,LABRADOR PARK MRT STATION,CC27,BUONA VISTA
103.7913503,1.276213523,155,PASIR PANJANG MRT STATION,CC26,BUONA VISTA
103.7818105,1.282542157,161,HAW PAR VILLA MRT STATION,CC25,BUONA VISTA
103.7846314,1.293462633,104,KENT RIDGE MRT STATION,CC24,BUONA VISTA
103.7874575,1.299759879,108,ONE-NORTH MRT STATION,CC23,BUONA VISTA
103.7906534,1.306491669,124,BUONA VISTA MRT STATION,CC22,BUONA VISTA
103.7961918,1.31183479,187,HOLLAND VILLAGE MRT STATION,CC21,ORCHARD
103.8075861,1.317510612,121,FARRER ROAD MRT STATION,CC20,ORCHARD
103.8506674,1.296861687,93,BRAS BASAH MRT STATION,CC2,RAFFLES
103.8149828,1.322110193,185,BOTANIC GARDENS MRT STATION,CC19,ORCHARD
103.8306896,1.333728882,117,BUKIT BROWN MRT STATION,CC18,BISHAN
103.8395298,1.337674508,127,CALDECOTT MRT STATION,CC17,BISHAN
103.8394231,1.348707263,160,MARYMOUNT MRT STATION,CC16,BISHAN
103.8491544,1.35130868,109,BISHAN MRT STATION,CC15,BISHAN
103.8641519,1.351612171,162,LORONG CHUAN MRT STATION,CC14,SERANGOON
103.8723681,1.350595256,145,SERANGOON MRT STATION,CC13,SERANGOON
103.8797589,1.342828338,153,BARTLEY MRT STATION,CC12,MACPHERSON
103.8881949,1.335433322,166,TAI SENG MRT STATION,CC11,MACPHERSON
103.890287,1.326345372,94,MACPHERSON MRT STATION,CC10,MACPHERSON
103.8462391,1.298842816,165,DHOBY GHAUT MRT STATION,CC1,RAFFLES
103.7726491,1.380017897,80,BANGKIT LRT STATION,BP9,BUKIT PANJANG
103.7712702,1.376142883,76,PENDING LRT STATION,BP8,BUKIT PANJANG
103.766669,1.377750334,63,PETIR LRT STATION,BP7,BUKIT PANJANG
103.7630136,1.377909898,47,BUKIT PANJANG LRT STATION,BP6,BUKIT PANJANG
103.7580341,1.378618844,90,PHOENIX LRT STATION,BP5,BUKIT PANJANG
103.7537122,1.376684679,64,TECK WHYE LRT STATION,BP4,BUKIT PANJANG
103.7490555,1.378602766,57,KEAT HONG LRT STATION,BP3,BUKIT PANJANG
103.7452918,1.380298287,66,SOUTH VIEW LRT STATION,BP2,BUKIT PANJANG
103.7601398,1.380321008,85,TEN MILE JUNCTION LRT STATION,BP14,BUKIT PANJANG
103.7623672,1.382692296,61,SENJA LRT STATION,BP13,BUKIT PANJANG
103.7645033,1.386703025,62,JELAPANG LRT STATION,BP12,BUKIT PANJANG
103.7695984,1.387772131,91,SEGAR LRT STATION,BP11,BUKIT PANJANG
103.7708086,1.384520796,48,FAJAR LRT STATION,BP10,BUKIT PANJANG
103.7445537,1.38483636,65,CHOA CHU KANG LRT STATION,BP1,BUKIT PANJANG
